,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
251,AWR,American States Water Company,Utilities,Water Utilities,USA,2560000000,40.45,69.58,-0.07%,"106,298"
252,AWX,Avalon Holdings Corporation,Industrial Goods,Waste Management,USA,9520000,11.14,2.44,-2.98%,"41,147"
253,AX,"Axos Financial, Inc.",Financial,Savings & Loans,USA,1830000000,11.71,30.55,-0.10%,"357,361"
254,AXE,Anixter International Inc.,Services,Industrial Equipment Wholesale,USA,1940000000,13.02,58.61,-2.82%,"116,096"
257,AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Goods,Auto Parts,USA,1740000000,-,15.29,-2.55%,"1,073,000"
258,AXP,American Express Company,Financial,Credit Services,USA,91440000000,15.00,109.85,-0.77%,"2,869,282"
259,AXR,AMREP Corporation,Services,Business Services,USA,47240000,28.59,5.89,1.90%,"8,089"
260,AXS,AXIS Capital Holdings Limited,Financial,Property & Casualty Insurance,Bermuda,4610000000,-,55.09,-1.31%,"750,497"
261,AXTA,Axalta Coating Systems Ltd.,Basic Materials,Specialty Chemicals,USA,6330000000,33.54,26.80,-1.11%,"1,567,916"
262,AXU,Alexco Resource Corp.,Basic Materials,Industrial Metals & Minerals,Canada,117670000,-,1.10,0.00%,"293,511"
263,AYI,"Acuity Brands, Inc.",Technology,Diversified Electronics,USA,5510000000,17.54,139.48,-0.21%,"429,659"
264,AYR,Aircastle Limited,Services,Rental & Leasing Services,USA,1470000000,6.10,19.45,-3.90%,"312,095"
265,AYX,"Alteryx, Inc.",Technology,Application Software,USA,5020000000,248.18,80.66,-0.68%,"704,526"
266,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - Major,United Kingdom,105580000000,47.87,40.69,-0.42%,"4,313,064"
267,AZO,"AutoZone, Inc.",Services,Auto Parts Stores,USA,25700000000,19.83,1040.40,-1.15%,"276,688"
268,AZRE,Azure Power Global Limited,Utilities,Electric Utilities,India,479600000,-,11.99,2.13%,"16,226"
269,AZUL,Azul S.A.,Services,Major Airlines,Brazil,3140000000,18.02,27.78,-1.35%,"833,568"
270,AZZ,AZZ Inc.,Industrial Goods,Diversified Machinery,USA,1100000000,26.08,42.61,-0.86%,"90,574"
271,B,Barnes Group Inc.,Industrial Goods,Industrial Equipment & Components,USA,2700000000,16.60,53.03,-1.60%,"150,042"
272,BA,The Boeing Company,Industrial Goods,Aerospace/Defense Products & Services,USA,210400000000,20.65,369.04,-1.46%,"7,980,062"
274,BABA,Alibaba Group Holding Limited,Services,"Specialty Retail, Other",China,474030000000,47.52,187.19,0.37%,"11,578,209"
275,BAC,Bank of America Corporation,Financial,Money Center Banks,USA,279140000000,11.07,28.89,-0.96%,"40,535,280"
276,BAF,BlackRock Municipal Income Investment Quality Trust,Financial,Closed-End Fund - Debt,USA,121180000,-,13.85,0.36%,"15,076"
277,BAH,Booz Allen Hamilton Holding Corporation,Services,Management Services,USA,7960000000,19.15,57.38,-1.65%,"906,823"
278,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,10000000000,13.24,24.71,-1.67%,"595,457"
280,BAM,Brookfield Asset Management Inc.,Financial,Real Estate Development,Canada,46970000000,13.36,46.99,-0.57%,"1,182,469"
281,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,707780000,37.21,14.29,-1.38%,"247,802"
282,BAP,Credicorp Ltd.,Financial,Money Center Banks,Peru,19000000000,15.83,240.05,-2.21%,"221,728"
284,BAS,"Basic Energy Services, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,89570000,-,3.56,-4.81%,"387,015"
286,BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,USA,42280000000,30.73,80.07,0.51%,"1,966,593"
287,BB,BlackBerry Limited,Technology,Communication Equipment,Canada,5100000000,62.48,9.31,-0.53%,"2,557,669"
289,BBD,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,75100000000,13.36,9.35,-0.64%,"9,405,914"
290,BBDC,"Barings BDC, Inc.",Financial,Credit Services,USA,501880000,-,9.95,0.40%,"171,705"
291,BBDO,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,64820000000,11.53,8.07,-1.59%,"1,374"
